film_id,genre_id
64,1
65,2
65,1
66,3
66,2
66,1
67,2
67,1
68,2
68,1
69,3
69,4
69,1
70,2
70,1
71,5
71,1
71,6
72,3
72,4
72,7
73,1
74,3
74,4
74,1
75,1
75,8
76,9
77,3
77,4
77,1
78,3
78,7
79,5
79,2
79,1
80,3
80,4
80,10
81,1
82,5
82,1
82,6
83,11
83,1
83,12
84,1
85,4
85,1
85,7
86,2
86,1
87,13
87,4
87,14
88,1
88,15
89,2
89,1
89,10
90,11
90,1
90,8
91,2
91,1
91,16
92,2
92,1
92,12
93,3
93,4
93,10
94,3
94,1
94,16
95,3
95,4
95,1
96,1
96,14
96,10
97,2
97,1
97,12
98,1
98,17
99,5
99,11
99,1
100,1
100,16
100,7
101,2
101,1
101,12
102,5
102,1
102,17
63,3
63,4
63,1
103,1
104,2
104,16
104,12
105,3
105,2
105,1
8,13
8,4
8,1
25,13
25,4
25,1
106,3
106,7
107,1
107,8
108,13
108,1
108,15
109,4
109,11
109,7
110,9
111,18
111,16
111,12
112,1
112,8
112,15
113,11
113,1
113,14
114,11
114,1
114,8
115,1
116,5
116,1
116,6
117,3
117,2
117,1
118,13
118,1
118,10
119,3
119,5
119,1
120,13
120,3
120,4
121,3
121,4
121,1
122,3
122,4
122,7
50,13
50,4
50,14
123,1
123,9
124,3
124,4
125,11
125,1
126,1
126,14
127,13
127,4
127,14
128,1
128,16
128,12
129,3
129,1
129,16
130,16
130,12
131,13
131,3
131,4
132,2
132,1
133,3
133,4
134,1
134,18
135,1
135,16
135,15
136,18
136,7
137,1
137,19
138,2
138,1
138,16
139,11
140,2
140,1
140,16
141,1
141,15
142,16
142,12
143,1
143,20
144,11
144,1
144,15
145,1
145,12
145,15
146,1
146,10
146,18
147,2
147,1
147,17
148,2
148,1
148,12
149,1
150,1
151,1
151,16
151,15
152,1
153,1
153,14
154,4
154,1
154,15
155,1
155,8
155,7
156,11
156,8
157,11
157,2
158,1
159,1
160,1
160,8
161,1
161,14
161,21
30,13
30,4
30,11
162,5
162,1
162,6
163,2
163,1
163,12
164,1
164,15
165,1
165,12
165,15
166,3
166,4
166,7
167,5
167,1
167,6
168,2
168,1
169,3
169,4
169,10
170,4
170,1
170,12
171,2
171,1
172,11
172,2
172,1
173,2
173,1
173,7
174,4
174,7
175,9
176,4
176,5
176,1
177,11
177,1
177,8
178,4
178,16
178,12
179,16
179,8
179,12
180,11
180,19
180,8
181,1
182,1
183,2
183,1
183,20
184,1
184,16
185,2
185,16
185,12
186,1
186,7
187,11
187,1
187,14
188,11
188,1
189,3
189,1
189,15
190,3
190,1
191,5
191,11
191,1
192,11
192,2
192,1
193,2
193,1
193,16
194,3
194,1
195,13
195,4
195,11
148,16
196,4
196,11
196,1
197,1
197,15
198,5
198,1
198,21
199,3
199,11
199,2
200,1
201,3
201,5
201,2
202,1
202,16
202,8
203,3
203,1
203,21
204,16
204,12
40,13
40,4
40,11
205,5
205,2
205,1
206,1
206,14
206,21
207,1
208,1
208,10
208,15
41,13
41,4
41,11
209,3
209,1
209,7
210,11
210,2
210,1
211,1
212,3
212,4
213,1
214,5
214,1
214,6
215,13
215,4
215,14
216,5
216,1
217,3
217,11
217,2
218,3
218,11
218,2
219,2
219,1
219,16
220,2
220,1
220,12
221,2
221,1
221,12
222,2
222,1
223,3
223,11
223,8
224,1
224,9
225,3
225,4
226,11
226,2
226,1
227,13
227,14
227,10
228,3
228,12
229,3
229,1
229,15
230,5
230,1
230,21
231,1
231,7
232,1
232,17
233,5
233,1
233,6
234,3
234,4
234,11
235,4
235,11
235,10
236,4
236,1
236,6
237,2
237,1
238,3
238,1
238,12
239,1
239,15
240,11
240,17
240,8
241,1
241,8
242,1
242,10
242,6
243,2
243,1
243,12
244,2
244,12
245,1
246,2
246,1
246,16
247,1
248,4
248,1
248,9
249,11
249,15
250,4
250,11
250,1
251,3
251,11
251,8
252,1
252,8
253,1
253,12
254,13
254,1
254,14
255,2
255,1
255,16
256,1
256,8
256,12
257,1
258,3
258,2
258,1
259,3
259,1
259,7
260,1
260,12
261,11
261,1
261,12
54,13
54,4
54,11
262,1
263,11
263,1
263,19
264,11
264,1
264,10
265,4
265,11
265,2
266,1
266,16
266,12
267,13
267,1
267,10
268,5
268,1
268,6
47,13
47,4
47,11
269,11
269,1
269,8
270,5
270,1
270,6
271,3
271,5
271,1
272,3
272,5
272,1
273,5
273,2
273,1
274,13
274,4
274,1
275,16
275,12
276,11
276,1
277,2
277,1
277,16
278,3
278,4
278,7
279,3
279,2
279,1
280,1
62,4
62,1
62,10
281,1
281,17
282,5
282,1
282,14
283,13
283,11
283,1
284,13
284,3
284,4
285,4
285,5
285,1
286,2
286,1
286,12
287,11
287,1
287,8
288,1
288,21
289,5
289,1
289,6
290,3
290,1
290,15
291,1
291,8
292,11
292,1
292,19
293,2
293,1
293,16
294,11
294,1
294,8
295,3
295,2
295,1
15,13
15,4
15,11
34,13
34,4
34,11
296,5
296,2
296,1
297,1
297,12
33,13
33,4
33,11
298,13
298,3
298,1
299,4
299,1
299,19
300,1
300,16
300,12
301,1
301,17
301,8
302,11
302,1
303,11
303,2
303,8
304,11
304,2
304,21
305,1
305,8
306,1
307,2
307,1
307,12
308,11
308,1
308,15
309,2
309,1
310,1
310,8
311,1
311,8
312,1
312,16
312,8
313,11
313,2
313,1
314,3
314,4
314,7
315,5
315,2
315,1
316,1
316,17
316,8
317,1
317,6
317,8
318,11
318,1
319,4
319,1
320,1
320,15
321,1
322,13
322,4
322,10
323,18
323,16
323,7
324,1
324,10
324,17
325,4
325,1
326,1
327,3
327,7
327,12
328,5
328,1
329,11
330,1
330,15
331,1
331,21
332,1
333,4
333,1
333,6
334,5
334,1
335,1
335,16
335,12
336,11
336,2
336,1
337,1
338,1
338,16
338,7
339,2
339,1
339,16
340,2
340,1
341,1
341,12
342,5
342,1
342,6
343,1
343,15
344,1
344,10
345,1
345,18
345,12
346,3
346,11
346,2
347,1
347,9
348,1
348,15
349,1
350,5
350,1
350,6
351,2
351,1
352,4
352,1
352,6
353,4
353,1
354,1
355,1
355,6
356,4
356,1
356,15
357,2
357,1
357,12
358,4
358,1
358,12
359,1
359,20
360,3
360,2
360,1
361,20
361,16
361,12
362,1
362,17
362,8
363,11
363,1
363,8
364,1
364,16
364,8
365,11
365,1
366,1
366,6
366,8
367,1
367,15
368,11
368,8
369,5
369,1
369,6
370,11
370,8
371,1
371,8
372,3
372,4
372,11
373,10
373,18
373,16
374,11
374,1
375,4
375,5
375,1
376,1
376,6
377,3
377,4
377,11
378,3
378,2
378,12
379,11
379,1
379,17
380,5
380,1
381,4
381,1
381,7
22,13
22,4
22,11
382,3
382,1
383,13
383,4
383,1
384,1
384,14
385,1
385,17
385,8
386,2
386,1
386,12
387,1
388,3
388,2
388,12
389,5
389,1
389,12
390,3
390,4
390,11
391,3
391,1
391,16
392,1
392,8
392,7
393,5
393,1
393,17
394,3
394,4
394,1
395,1
395,8
396,3
396,2
396,1
397,5
397,1
397,6
398,1
399,3
399,4
399,11
400,1
400,16
401,1
401,8
402,3
402,5
402,1
403,1
404,3
404,1
404,12
405,1
405,8
406,1
406,12
407,3
407,2
407,1
408,3
408,4
408,7
409,13
409,5
409,1
410,5
410,1
411,5
411,1
412,4
412,1
412,12
413,3
413,16
413,12
414,2
414,1
414,8
415,2
415,12
416,5
416,1
417,4
417,11
417,7
37,13
37,4
37,11
418,3
418,4
418,12
419,3
419,2
419,12
420,1
421,1
421,8
422,5
422,1
423,5
423,1
423,6
424,11
424,1
424,19
425,3
425,2
425,1
426,3
426,4
426,10
427,4
427,1
427,10
35,13
35,3
35,4
428,11
428,1
428,8
429,2
429,1
430,11
430,1
431,1
431,16
431,7
432,1
433,2
433,1
433,19
434,5
434,1
435,13
435,2
435,16
436,1
437,1
438,13
438,3
438,4
439,3
439,2
439,11
440,1
441,11
441,1
442,16
442,7
442,12
443,13
443,3
443,2
444,13
444,14
444,10
445,11
445,10
445,8
446,2
446,1
447,1
7,13
7,4
7,11
448,1
448,6
448,12
6,13
6,14
6,10
449,4
449,1
449,9
450,11
450,1
451,1
452,13
452,3
452,7
453,4
453,14
453,10
454,1
454,10
454,8
455,1
455,15
456,13
456,4
456,1
457,3
457,7
458,5
458,1
458,6
459,1
459,6
459,15
460,11
460,1
461,11
461,8
462,4
462,12
463,5
463,2
463,1
464,11
465,5
465,2
465,1
466,18
467,16
467,12
468,1
468,8
469,1
469,14
469,19
470,1
471,5
471,2
471,1
472,1
472,18
473,4
473,7
474,11
474,1
474,8
475,1
476,5
476,1
476,14
477,1
477,8
477,15
478,3
478,1
478,9
479,1
480,1
481,1
481,21
482,11
482,1
483,3
483,1
483,9
484,2
484,1
484,16
485,2
485,1
485,20
486,1
487,1
487,20
488,2
488,1
488,20
489,2
489,1
489,20
490,1
491,2
491,1
491,18
492,11
492,1
492,15
493,11
493,8
494,1
495,1
495,20
495,16
496,11
496,2
497,2
497,1
497,16
498,2
498,1
498,20
499,1
499,8
500,1
500,20
500,16
501,1
501,8
501,15
502,11
502,2
502,12
503,20
503,16
504,1
504,6
505,4
505,14
505,10
506,11
506,1
507,11
507,2
507,16
508,1
508,15
509,1
509,6
509,12
510,11
510,2
510,1
511,11
511,1
511,8
512,2
512,1
513,11
513,1
513,8
514,1
514,8
515,1
516,13
516,4
516,11
517,4
517,11
517,1
518,11
518,1
519,11
519,1
519,17
520,3
520,4
520,11
521,2
521,1
521,12
522,11
522,1
522,15
523,1
523,7
524,3
524,4
524,7
525,1
525,8
526,3
526,4
526,7
527,2
527,1
528,11
528,1
528,8
529,3
529,4
529,7
530,1
530,8
531,5
531,2
531,1
532,2
532,1
533,1
533,16
533,7
534,2
534,1
534,10
535,3
535,7
535,12
536,1
536,21
537,11
537,1
537,8
538,1
539,1
540,3
540,4
540,7
541,11
541,2
541,1
542,1
542,10
542,16
543,3
543,4
543,1
544,4
544,1
544,10
545,4
545,1
545,10
546,13
546,4
546,11
547,11
547,1
548,1
548,17
549,3
549,4
549,7
550,11
550,18
551,1
551,8
552,2
552,1
552,16
58,4
58,14
58,10
553,3
553,4
553,6
554,1
554,16
554,8
555,11
555,1
555,15
556,13
556,3
556,2
557,3
557,16
557,12
558,2
558,1
558,12
559,4
559,1
559,7
560,4
560,11
560,1
561,1
561,16
561,12
32,13
32,4
32,11
562,1
563,13
563,1
563,14
564,2
564,1
565,2
565,1
565,8
566,1
566,17
566,16
567,13
567,3
567,4
568,2
568,1
568,12
569,1
569,10
569,8
570,5
570,1
571,11
571,1
572,2
572,1
572,12
573,11
573,1
574,1
574,7
575,11
575,17
576,11
576,14
577,3
577,4
577,11
578,11
578,1
578,8
579,1
579,17
579,19
580,3
580,4
580,18
581,5
581,1
581,6
582,4
582,1
582,10
583,11
583,1
583,14
584,11
585,3
585,4
585,5
586,11
586,1
586,8
587,5
587,1
587,15
588,3
588,4
588,9
589,18
589,12
590,5
590,1
590,6
591,2
591,1
591,16
592,11
592,16
592,8
593,1
593,12
594,4
594,5
594,1
595,1
595,16
596,1
596,8
597,4
597,1
598,4
598,1
598,9
599,1
600,1
600,12
600,9
601,2
601,20
601,12
602,11
602,1
602,10
603,11
603,1
603,14
604,1
604,20
604,8
605,2
605,20
605,16
606,1
606,20
607,11
607,8
608,11
608,1
608,8
609,3
609,4
609,8
610,11
610,17
610,19
611,4
611,18
611,7
612,1
612,18
613,10
613,18
614,3
614,11
614,2
615,3
615,1
615,12
616,1
616,17
617,1
618,3
618,1
618,6
619,11
619,1
620,5
620,1
620,6
621,4
621,11
621,14
622,3
622,2
622,1
623,13
623,3
623,4
624,5
624,1
624,21
625,1
626,1
626,6
626,15
627,3
627,4
627,7
628,3
628,4
628,7
629,2
629,1
629,16
630,1
630,8
631,13
631,5
631,2
632,5
632,11
632,1
633,1
633,16
634,1
635,1
635,8
636,11
636,8
21,13
21,3
21,4
637,11
637,1
637,10
638,11
638,1
638,14
639,13
639,5
639,1
52,13
52,4
52,11
640,2
640,1
640,16
641,11
641,1
641,8
642,13
642,3
642,4
643,5
643,11
643,1
644,1
644,12
645,3
645,2
645,1
646,2
646,1
646,16
647,4
647,5
647,2
648,3
648,2
648,1
649,5
649,1
649,6
650,2
650,1
650,16
651,3
651,2
651,12
652,4
652,10
653,1
653,6
653,16
654,2
654,1
654,16
655,1
655,6
655,12
656,11
656,1
657,5
657,1
657,21
658,3
658,12
659,1
659,6
659,15
660,1
660,17
660,8
661,4
661,10
662,1
663,1
663,16
663,8
664,2
664,1
665,5
665,2
665,1
666,3
666,4
666,10
667,1
667,10
667,8
668,3
668,4
668,1
669,11
669,1
670,3
670,11
670,16
671,1
671,10
671,8
672,1
672,14
672,19
673,11
673,2
673,1
674,1
674,8
675,5
675,1
675,21
676,13
676,4
676,11
677,3
677,4
677,7
678,5
678,1
678,17
679,1
680,1
680,8
681,4
681,5
681,1
682,2
682,1
683,13
683,11
683,1
684,3
684,1
684,12
685,3
685,4
685,1
686,13
686,1
686,10
687,5
687,1
687,21
688,3
688,4
688,10
689,1
690,4
690,1
690,8
691,3
691,2
691,12
692,5
692,1
692,12
693,5
693,1
693,14
694,13
694,4
694,11
695,1
695,8
696,2
696,1
696,8
697,1
697,7
697,12
698,3
698,1
698,16
699,1
700,5
700,11
700,1
701,1
702,3
702,5
702,1
703,11
703,1
703,14
704,1
704,8
705,11
705,1
706,3
706,2
706,1
707,2
707,1
707,8
708,13
708,3
708,2
709,3
709,2
709,12
710,11
710,1
711,1
711,10
711,17
712,2
712,1
713,1
713,12
714,5
714,1
715,13
715,4
715,1
716,5
716,1
716,6
717,3
717,2
717,1
718,4
718,11
718,7
719,2
719,1
719,6
720,3
720,4
720,7
721,3
721,11
721,10
722,11
723,11
723,2
723,1
724,4
724,11
724,14
725,1
726,11
726,1
727,5
727,1
727,6
728,3
728,11
728,10
729,4
729,5
729,1
730,11
730,2
730,1
731,14
731,7
732,1
733,1
733,8
734,9
735,4
735,6
735,15
736,1
736,16
736,12
737,13
737,7
738,2
738,1
738,12
739,3
739,2
739,1
740,1
740,17
740,19
741,14
741,10
741,19
742,1
743,12
744,11
744,1
745,3
745,5
745,2
746,1
746,14
746,19
747,11
747,14
747,10
748,3
748,1
748,6
749,1
749,8
750,18
751,2
751,1
752,3
752,4
752,1
753,3
753,2
753,1
754,4
754,11
754,20
755,20
755,12
756,4
756,1
756,9
757,16
757,12
758,11
758,14
758,8
759,1
759,18
759,7
760,11
760,19
760,15
761,3
761,2
761,1
762,1
762,18
762,7
763,1
764,1
764,8
765,3
765,4
765,11
766,2
766,1
766,16
767,18
767,16
767,12
768,3
768,4
768,12
769,11
769,1
769,8
770,11
770,18
771,13
771,1
771,14
772,5
772,1
772,8
773,3
773,4
773,11
774,1
774,8
775,11
775,1
776,11
776,1
777,1
777,8
778,1
778,21
779,1
779,17
779,8
780,3
780,4
780,7
781,1
781,17
781,19
782,4
782,11
782,1
783,13
783,4
783,11
784,13
784,4
784,1
785,1
786,11
786,10
786,8
787,13
787,3
787,4
788,1
788,7
788,12
789,3
789,4
789,7
790,1
790,15
791,5
791,1
792,3
792,4
792,7
793,11
794,3
794,4
794,12
795,11
795,1
795,8
796,5
796,1
796,12
797,11
797,1
797,8
61,4
61,14
61,10
798,13
798,4
798,11
799,5
799,1
799,6
800,13
800,1
800,10
801,5
801,2
801,1
802,11
802,1
802,8
803,13
803,4
803,11
804,2
804,1
804,10
805,2
805,1
806,1
806,7
806,12
807,1
808,5
808,1
808,6
809,2
809,1
809,16
810,3
810,2
810,1
811,1
811,6
811,17
812,5
812,1
812,17
18,13
18,4
18,11
813,1
813,12
813,15
814,1
814,8
815,3
815,2
815,1
816,2
816,1
816,12
817,3
817,11
817,10
818,3
818,16
818,12
819,1
819,12
820,5
820,1
820,17
821,11
821,1
59,4
59,14
59,10
822,3
822,2
822,1
823,13
823,1
823,14
824,3
824,1
825,1
826,11
826,1
826,8
827,1
828,1
829,11
829,1
830,1
830,6
830,15
831,2
831,1
831,12
832,1
832,12
833,1
833,17
834,11
834,1
834,17
835,2
835,12
836,13
836,3
836,10
837,4
837,11
837,2
838,4
838,11
838,1
839,13
839,11
839,10
840,11
841,11
841,1
842,2
842,1
842,12
843,11
843,1
843,8
844,1
844,16
844,7
845,11
845,1
845,10
846,11
846,1
846,8
847,3
847,4
847,7
848,11
849,5
849,2
849,1
850,5
850,1
850,17
851,2
851,1
851,16
852,1
853,1
853,14
853,10
854,11
854,2
854,1
855,5
855,11
855,1
856,11
857,11
857,1
858,1
859,11
859,1
859,14
860,5
860,1
860,6
861,3
861,4
861,1
862,13
862,4
862,11
863,2
863,1
863,16
864,1
864,12
865,1
866,11
866,1
866,12
867,2
867,1
867,12
868,13
868,4
868,11
869,16
869,12
870,11
870,1
871,5
871,1
871,6
872,3
872,1
872,6
873,2
873,1
873,16
874,1
874,16
874,12
875,11
875,10
875,8
876,11
876,2
876,1
877,11
878,1
879,3
879,4
879,7
880,3
880,4
881,1
882,11
883,13
883,4
883,14
884,18
884,12
885,1
885,12
886,11
886,15
887,3
887,2
887,12
888,11
888,9
889,5
889,2
889,1
890,3
890,2
890,1
891,4
891,1
891,12
892,3
892,2
892,1
893,3
893,2
893,12
894,3
894,4
894,15
895,11
896,3
896,4
896,15
897,1
897,8
898,5
898,1
898,6
899,1
899,18
899,12
900,1
900,6
900,15
901,3
901,4
901,12
902,1
902,18
902,16
903,1
903,12
904,1
904,18
904,12
905,3
905,4
905,9
906,1
906,18
907,1
907,18
907,7
908,1
909,11
909,2
910,11
910,1
910,8
911,11
911,1
911,8
912,1
912,7
913,4
913,1
913,8
914,1
914,20
914,8
915,13
915,14
915,10
916,18
916,7
917,5
917,1
917,6
918,1
918,16
918,12
919,11
919,1
920,1
921,1
922,5
922,2
922,1
923,1
924,4
924,11
924,1
925,2
925,1
925,8
926,1
927,3
927,4
927,11
928,3
928,2
928,1
929,3
929,5
929,1
930,1
930,6
930,12
931,13
931,3
931,4
23,13
23,4
23,11
932,3
932,2
932,1
933,1
933,21
934,2
934,1
935,3
935,2
935,1
936,5
936,11
936,1
937,3
937,4
937,1
938,16
938,12
939,3
939,12
940,3
940,2
940,1
941,13
941,4
941,14
942,1
942,17
942,8
943,1
943,9
944,1
944,8
945,13
945,11
945,2
946,11
946,1
946,8
947,3
947,11
947,2
948,3
948,4
948,2
949,5
949,1
949,21
950,1
950,18
950,12
951,4
951,11
951,10
952,1
952,12
953,3
953,4
953,16
954,5
954,1
954,21
955,1
956,1
957,3
957,2
957,1
958,4
958,14
958,10
959,13
959,4
959,14
960,2
960,1
960,16
961,2
961,1
961,16
962,5
962,1
962,17
963,3
963,5
963,1
964,1
964,10
964,16
965,2
965,1
965,12
60,3
60,4
60,14
966,3
966,1
967,1
967,8
967,12
968,3
968,1
968,16
969,3
969,2
969,1
970,18
970,16
970,12
971,1
972,1
973,11
973,1
973,8
974,1
974,16
974,8
975,11
975,1
976,2
976,1
976,12
977,2
977,1
977,12
978,5
978,1
978,14
979,1
980,1
980,7
980,12
981,1
981,18
981,7
982,3
982,4
982,1
983,11
983,1
984,1
57,4
57,14
57,10
985,18
985,16
985,12
986,5
986,2
986,1
987,1
987,6
987,15
988,3
988,2
988,16
989,5
989,1
989,21
990,11
990,2
990,1
991,2
991,1
991,12
992,1
992,15
11,13
11,4
11,14
993,4
993,11
993,1
994,2
994,1
994,12
995,16
995,7
995,12
996,2
996,1
996,12
997,16
997,12
998,1
998,8
999,3
999,4
999,12
1000,4
1000,1
1000,10
1001,1
1001,8
1002,4
1002,1
1002,6
1003,11
1003,1
1003,8
1004,3
1004,2
1004,1
1005,11
1006,11
1006,2
1007,13
1007,1
1007,8
1008,11
1008,2
1009,11
1009,14
1010,2
1010,1
1011,11
1011,1
1011,8
5,13
5,14
5,10
1012,11
1012,2
1013,11
1013,1
1014,3
1014,2
1014,12
1015,2
1015,1
1015,12
1016,1
1017,3
1017,4
1017,7
1018,3
1018,2
1018,12
1019,4
1019,11
1019,14
1020,3
1020,5
1020,2
1021,13
1021,4
1021,1
1022,5
1022,2
1022,1
1023,1
1023,7
1024,11
1024,2
1024,1
1025,1
1025,15
1025,9
1026,4
1026,11
1026,15
4,13
4,4
4,14
1027,1
1027,16
1027,12
1028,11
1028,17
1028,19
1029,11
1029,1
1029,8
1030,1
1030,9
1031,1
1031,8
1031,15
1032,1
1032,15
1033,2
1033,16
1033,12
